gespes, afrikaans
eis, dutch
spesifiek, afrikaans
barrier, english
durft, dutch
patroon, afrikaans
cultuur, dutch
bedriegt, dutch
roze, dutch
collaborative, english
stasie, afrikaans
huisvriend, afrikaans
batterij, dutch
homself, afrikaans
munt, afrikaans
opgepast, afrikaans
omgekomen, dutch
verkry, afrikaans
perceived, english
volmaaktheid, afrikaans
perception, english
liefde, dutch
irak, afrikaans
engelvingers, afrikaans
destroy, english
contemporary, english
bishop, english
reputatie, dutch
geweten, dutch
frame, english
airport, english
allen, english
oseaan, afrikaans
ernstig, afrikaans
brandwonden, dutch
nina, dutch
gebeurd, dutch
wêreld, afrikaans
uitgelaat, afrikaans
vestigen, dutch
fransen, dutch
nounog, afrikaans
ietsie, afrikaans
mislukkeling, dutch
italië, dutch
geen, afrikaans
douglas, english
rochelle, afrikaans
eastern, english
keuze, dutch
vloeiend, afrikaans
trader, english
vanuit, dutch
tuner, english
encountered, english
ombouing, afrikaans
shakespeare, afrikaans
besteden, dutch
stukkend, afrikaans
wednesday, english
radio, english
parfum, dutch
fooi, afrikaans
miss, english
hazards, english
hoogtepunt, dutch
oorgegee, afrikaans
ufo, dutch
holden, dutch
overwegen, dutch
waghou, afrikaans
dringend, afrikaans
dezelfde, dutch
noordoos, afrikaans
spul, afrikaans
poort, afrikaans
sr, english
spreading, english
everything, english
maintenance, english
machine, dutch
verhelder, afrikaans
indruk, afrikaans
oortreders, afrikaans
ongezellig, afrikaans
paperback, english
serum, afrikaans
activiteiten, dutch
veragtelik, afrikaans
net, english
buses, english
aanhoren, dutch
oktober, dutch
slag, dutch
japan, dutch
starsmerchant, english
submissions, english
publieke, dutch
alias, afrikaans
toehy, afrikaans
eindeloze, dutch
shot, english
mins, english
reliance, english
onderwys, afrikaans
variteit, afrikaans
hawkins, dutch
spoke, afrikaans
extreme, english
watson, english
lewetjie, afrikaans
swyn, afrikaans
doorbreken, dutch
quantities, english
beruchte, dutch
lof, afrikaans
surplus, english
kk, afrikaans
symbool, dutch
afsluiten, dutch
zenuwen, dutch
draai, dutch
washer, english
record, dutch
willow, english
taalgebruik, afrikaans
oordink, afrikaans
verwachten, dutch
fleet, english
dame, dutch
geheimpje, dutch
spyseniering, afrikaans
mcdonald, english
effectively, english
jewellery, english
siegler, afrikaans
seisoene, afrikaans
bevind, afrikaans
anthony, afrikaans
klassieke, afrikaans
signalen, dutch
oordrewe, afrikaans
invitations, english
biecht, dutch
specify, english
tutorials, english
sagtebal, afrikaans
hang, dutch
heimwee, afrikaans
party, english
ysberg, afrikaans
forever, english
functioneren, dutch
achterover, dutch
afluisterapperaat, afrikaans
tartare, afrikaans
terminals, english
troueloos, afrikaans
ernstig, dutch
respond, english
kernel, english
mite, afrikaans
expressed, english
meesterstuk, afrikaans
amino, english
appraisal, english
infected, english
broederschap, dutch
look, english
lyding, afrikaans
wayne, dutch
precies, dutch
agency, english
transmitted, english
kosakke, afrikaans
sorg, afrikaans
eenzaam, dutch
vera, afrikaans
actieve, dutch
appels, dutch
ontspanningsmiddel, afrikaans
best, afrikaans
interventions, english
sherry, dutch
tara, dutch
are, dutch
fake, english
teruggebel, afrikaans
stephanie, afrikaans
opereer, afrikaans
dylan, english
motel, dutch
gorilla, dutch
dreineer, afrikaans
two, dutch
realiseren, dutch
beskermengel, afrikaans
scarlite, afrikaans
verder, afrikaans
enrolled, english
respect, dutch
ontelbaar, afrikaans
holmes, dutch
registered, english
prooi, afrikaans
vertroos, afrikaans
draw, english
chemisch, dutch
bedroog, dutch
haalt, dutch
planke, afrikaans
vasthoudt, dutch
zwaarden, dutch
waanzinnig, dutch
geeste, afrikaans
adapters, english
weigerde, dutch
walker, dutch
wyk, afrikaans
advertisement, english
generation, english
penalties, english
wheels, english
valletjies, afrikaans
meg, dutch
opwindend, dutch
verbaasd, dutch
signals, english
belazerd, dutch
mate, afrikaans
tweemaal, dutch
zorgen, dutch
vandale, afrikaans
lift, english
programmers, english
prayer, english
gely, afrikaans
lot, afrikaans
jared, dutch
keert, dutch
liz, dutch
present, english
aangaat, dutch
tyd, afrikaans
submit, english
ik, afrikaans
vrachtwagens, dutch
spence, dutch
moines, afrikaans
telefoonnummer, dutch
jackie, dutch
zoektocht, dutch
loop, english
landdiere, afrikaans
en, afrikaans
future, english
mario, dutch
asset, english
burlington, english
